,addrTag,askPrice1,askPrice2,askPrice3,askPrice4,askPrice5,askVolume1,askVolume2,askVolume3,askVolume4,askVolume5,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidVolume1,bidVolume2,bidVolume3,bidVolume4,bidVolume5,broker,clock,exchTime,exchTimeUnderMs,high,iopv,last,localTime,localTimeUnderMs,low,numTrades,open,phaseCode,preClosePrice,status,tickerIndex,tickerName,totalAskQty,totalBidQty,tradingDay,turnover,volume,weightedAvgAskPrc,weightedAvgBidPrc
10459476,0,24.56,24.57,24.58,24.59,24.6,24800,18400,45900,65000,253100,24.55,24.54,24.53,24.52,24.51,55700,5500,14200,7800,12200,0,2181092,49008000,0,24.75,0,24.55,49008553,545273,23.76,74516,23.9,,23.82,0,0,000002.SZ,13707781,5529270,20210706,1669517002,68532940,25.34,23.68
10462378,0,24.56,24.57,24.58,24.59,24.6,23600,18400,45900,70900,253100,24.55,24.54,24.53,24.52,24.51,54400,5800,14200,7800,12200,0,3583468,49011000,0,24.75,0,24.55,49011548,895867,23.76,74530,23.9,,23.82,0,0,000002.SZ,13713781,5528270,20210706,1669708554,68540740,25.34,23.68
10465322,0,24.56,24.57,24.58,24.59,24.6,27100,18400,46400,70900,253100,24.55,24.54,24.53,24.52,24.51,62800,5800,14200,7800,12500,0,2967316,49014000,0,24.75,0,24.55,49014543,741829,23.76,74531,23.9,,23.82,0,0,000002.SZ,13718181,5536970,20210706,1669713464,68540940,25.34,23.68
10468200,0,24.56,24.57,24.58,24.59,24.6,23200,17700,46400,70800,259700,24.55,24.54,24.53,24.52,24.51,63200,5800,14200,7800,12500,0,1731112,49017000,0,24.75,0,24.55,49017539,432778,23.76,74541,23.9,,23.82,0,0,000002.SZ,13719781,5535170,20210706,1670103958,68556840,25.33,23.68
10471159,0,24.56,24.57,24.58,24.59,24.6,6600,17700,49100,73200,259700,24.55,24.54,24.53,24.52,24.51,62700,5800,14200,7800,12500,0,3980216,49020000,0,24.75,0,24.55,49020595,995054,23.76,74575,23.9,,23.82,0,0,000002.SZ,13708681,5534770,20210706,1670693359,68580840,25.34,23.68
10474117,0,24.57,24.58,24.59,24.6,24.61,17700,49100,72500,259800,7700,24.56,24.55,24.54,24.53,24.52,31400,34600,5800,14200,7800,0,900208,49023000,0,24.75,0,24.56,49023591,225052,23.76,74593,23.9,,23.82,0,0,000002.SZ,13701981,5538370,20210706,1670892293,68588940,25.34,23.68
10477075,0,24.57,24.58,24.59,24.6,24.61,15100,49100,72500,259900,7700,24.56,24.55,24.54,24.53,24.52,46900,20800,5800,14200,7800,0,2613336,49026000,0,24.75,0,24.57,49026586,653334,23.76,74606,23.9,,23.82,0,0,000002.SZ,13699781,5540070,20210706,1671061787,68595840,25.34,23.68
10480048,0,24.57,24.58,24.59,24.6,24.61,14300,49100,72500,260600,7700,24.56,24.55,24.54,24.53,24.52,47600,20600,5800,14200,7800,0,221484,49029000,0,24.75,0,24.56,49029582,55371,23.76,74621,23.9,,23.82,0,0,000002.SZ,13699981,5541670,20210706,1671206718,68601740,25.34,23.68
10483116,0,24.57,24.58,24.59,24.6,24.61,5100,49100,82500,260800,7700,24.56,24.55,24.54,24.53,24.52,53400,19900,5800,14200,7800,0,458708,49032000,0,24.75,0,24.56,49032577,114677,23.76,74647,23.9,,23.82,0,0,000002.SZ,13700181,5546770,20210706,1671609623,68618140,25.34,23.68
10486205,0,24.58,24.59,24.6,24.61,24.62,49100,82700,260800,7700,35600,24.57,24.56,24.55,24.54,24.53,23300,34000,19100,5800,14200,0,1608740,49035000,0,24.75,0,24.57,49035572,402185,23.76,74666,23.9,,23.82,0,0,000002.SZ,13697481,5552470,20210706,1671852866,68628040,25.34,23.68
10489233,0,24.58,24.59,24.6,24.61,24.62,43000,82700,260800,7700,35600,24.57,24.56,24.55,24.54,24.53,39000,21900,15100,5800,13800,0,3235472,49038000,0,24.75,0,24.57,49038567,808868,23.76,74682,23.9,,23.82,0,0,000002.SZ,13691581,5551670,20210706,1672020003,68634840,25.34,23.68
10492245,0,24.59,24.6,24.61,24.62,24.63,81700,260800,7700,35600,8300,24.58,24.57,24.56,24.55,24.54,17200,46600,13700,15100,5800,0,2587352,49041000,0,24.75,0,24.58,49041562,646838,23.76,74726,23.9,,23.82,0,0,000002.SZ,13647781,5562770,20210706,1673359618,68689340,25.34,23.69
10495180,0,24.6,24.61,24.62,24.63,24.64,253200,7700,35600,8300,21600,24.59,24.58,24.57,24.56,24.55,21100,37500,21200,12200,15100,0,1806504,49044000,0,24.75,0,24.59,49044558,451626,23.76,74799,23.9,,23.82,0,0,000002.SZ,13564881,5578670,20210706,1675700634,68784540,25.34,23.69
10498157,0,24.64,24.65,24.66,24.67,24.68,15900,78300,29000,35800,117300,24.62,24.6,24.59,24.58,24.57,7100,18400,29100,11400,21200,0,1673272,49047000,0,24.75,0,24.64,49047553,418318,23.76,75054,23.9,,23.82,0,0,000002.SZ,13255181,5586070,20210706,1683354970,69095640,25.36,23.69
10501099,0,24.65,24.66,24.67,24.68,24.69,78000,29000,35800,117300,59739,24.64,24.62,24.6,24.59,24.58,9000,47800,16800,7500,11400,0,3791900,49050000,0,24.75,0,24.65,49050548,947975,23.76,75083,23.9,,23.82,0,0,000002.SZ,13238781,5583270,20210706,1683921604,69118640,25.36,23.69
